order_id,reseller_id,order_date,category,order_value,order_status
ORD10098,RS002,2024-04-19,Western Wear,1538.72,Delivered
ORD10099,RS002,2024-04-24,Western Wear,1538.72,Delivered
ORD10100,RS002,2024-04-19,Western Wear,1538.72,Delivered
ORD10101,RS017,2024-04-06,Western Wear,1538.72,Delivered
ORD10102,RS017,2024-04-03,Western Wear,1538.72,Delivered
ORD10103,RS003,2024-04-20,Western Wear,1538.72,Delivered
ORD10104,RS008,2024-04-13,Western Wear,1538.72,Delivered
ORD10105,RS019,2024-04-08,Western Wear,1538.72,Delivered
ORD10106,RS002,2024-04-20,Western Wear,1538.72,Delivered
ORD10107,RS022,2024-04-19,Western Wear,1538.72,Delivered
ORD10108,RS011,2024-04-30,Western Wear,1538.72,Delivered
ORD10109,RS022,2024-04-23,Western Wear,1538.72,Delivered
ORD10110,RS009,2024-04-13,Western Wear,1538.72,Delivered
ORD10111,RS021,2024-04-10,Western Wear,1538.72,Delivered
ORD10112,RS003,2024-04-01,Western Wear,1538.72,Delivered
ORD10113,RS019,2024-04-04,Western Wear,1538.72,Delivered
ORD10114,RS007,2024-04-17,Western Wear,1538.72,Delivered
ORD10115,RS012,2024-04-29,Western Wear,1538.72,Delivered
ORD10116,RS008,2024-04-12,Western Wear,1538.72,Delivered
ORD10117,RS015,2024-04-27,Western Wear,1538.72,Delivered
ORD10118,RS010,2024-04-20,Western Wear,1538.72,Returned
ORD10119,RS021,2024-04-17,Western Wear,1538.72,Delivered
ORD10120,RS018,2024-04-10,Western Wear,1538.72,Cancelled
ORD10121,RS004,2024-04-29,Western Wear,1538.72,Delivered
ORD10122,RS004,2024-04-29,Western Wear,1538.72,Delivered
ORD10123,RS018,2024-04-05,Western Wear,1538.72,Delivered
ORD10124,RS020,2024-04-07,Western Wear,1538.72,Delivered
ORD10125,RS007,2024-04-22,Western Wear,1538.58,Delivered
ORD10126,RS009,2024-04-17,Kids Wear,1348.28,Delivered
ORD10127,RS002,2024-04-03,Kids Wear,1348.28,Delivered
ORD10128,RS009,2024-04-02,Kids Wear,1348.28,Delivered
ORD10129,RS005,2024-04-21,Kids Wear,1348.28,Returned
ORD10130,RS006,2024-04-24,Kids Wear,1348.28,Delivered
ORD10131,RS023,2024-04-14,Kids Wear,1348.28,Delivered
ORD10132,RS004,2024-04-03,Kids Wear,1348.28,Cancelled
ORD10133,RS023,2024-04-29,Kids Wear,1348.28,Delivered
ORD10134,RS002,2024-04-27,Kids Wear,1348.28,Delivered
ORD10135,RS018,2024-04-05,Kids Wear,1348.28,Delivered
ORD10136,RS002,2024-04-10,Kids Wear,1348.28,Delivered
ORD10137,RS002,2024-04-29,Kids Wear,1348.28,Delivered
ORD10138,RS022,2024-04-08,Kids Wear,1348.28,Delivered
ORD10139,RS012,2024-04-25,Kids Wear,1348.28,Delivered
ORD10140,RS014,2024-04-20,Kids Wear,1348.28,Delivered
ORD10141,RS008,2024-04-28,Kids Wear,1348.28,Delivered
ORD10142,RS006,2024-04-29,Kids Wear,1348.28,Delivered
ORD10143,RS006,2024-04-24,Kids Wear,1348.28,Cancelled
ORD10144,RS014,2024-04-26,Kids Wear,1348.28,Delivered
ORD10145,RS008,2024-04-09,Kids Wear,1348.28,Delivered
ORD10146,RS023,2024-04-04,Kids Wear,1348.28,Delivered
ORD10147,RS002,2024-04-28,Kids Wear,1348.28,Delivered
ORD10148,RS007,2024-04-27,Kids Wear,1348.28,Cancelled
ORD10149,RS012,2024-04-10,Kids Wear,1348.28,Delivered
ORD10150,RS008,2024-04-08,Kids Wear,1348.28,Delivered
ORD10151,RS007,2024-04-13,Kids Wear,1348.28,Delivered
ORD10152,RS003,2024-04-25,Kids Wear,1348.28,Delivered
ORD10153,RS021,2024-04-17,Kids Wear,1348.28,Delivered
ORD10154,RS018,2024-04-11,Kids Wear,1348.28,Cancelled
ORD10155,RS004,2024-04-29,Kids Wear,1348.28,Returned
ORD10156,RS006,2024-04-19,Kids Wear,1348.28,Returned
ORD10157,RS009,2024-04-02,Kids Wear,1348.28,Delivered
ORD10158,RS014,2024-04-12,Kids Wear,1348.28,Delivered
ORD10159,RS011,2024-04-14,Kids Wear,1348.28,Delivered
ORD10160,RS017,2024-04-04,Kids Wear,1348.28,Delivered
ORD10161,RS019,2024-04-07,Kids Wear,1348.28,Delivered
ORD10162,RS023,2024-04-14,Kids Wear,1348.28,Delivered
ORD10163,RS018,2024-04-22,Kids Wear,1348.28,Delivered
ORD10164,RS022,2024-04-07,Kids Wear,1348.28,Delivered
ORD10165,RS003,2024-04-22,Kids Wear,1348.28,Cancelled
ORD10166,RS020,2024-04-11,Kids Wear,1348.28,Delivered
ORD10167,RS004,2024-04-24,Kids Wear,1348.28,Cancelled
ORD10168,RS017,2024-04-10,Kids Wear,1348.28,Delivered
ORD10169,RS011,2024-04-13,Kids Wear,1348.28,Delivered
ORD10170,RS018,2024-04-05,Kids Wear,1348.28,Delivered
ORD10171,RS022,2024-04-13,Kids Wear,1348.28,Delivered
ORD10172,RS006,2024-04-20,Kids Wear,1348.28,Delivered
ORD10173,RS013,2024-04-18,Kids Wear,1348.28,Delivered
ORD10174,RS010,2024-04-10,Kids Wear,1348.28,Delivered
ORD10175,RS019,2024-04-20,Kids Wear,1348.28,Delivered
ORD10176,RS015,2024-04-15,Kids Wear,1348.28,Delivered
ORD10177,RS007,2024-04-17,Kids Wear,1348.28,Delivered
ORD10178,RS006,2024-04-22,Kids Wear,1348.28,Delivered
ORD10179,RS017,2024-04-22,Kids Wear,1348.28,Delivered
ORD10180,RS011,2024-04-03,Kids Wear,1348.28,Delivered
ORD10181,RS008,2024-04-22,Kids Wear,1348.28,Delivered
ORD10182,RS007,2024-04-05,Kids Wear,1348.28,Delivered
ORD10183,RS008,2024-04-16,Kids Wear,1348.34,Delivered
ORD10184,RS003,2024-04-15,Beauty & Personal Care,930.36,Delivered
ORD10185,RS021,2024-04-19,Beauty & Personal Care,930.36,Delivered
ORD10186,RS023,2024-04-13,Beauty & Personal Care,930.36,Delivered
ORD10187,RS008,2024-04-05,Beauty & Personal Care,930.36,Delivered
ORD10188,RS001,2024-04-29,Beauty & Personal Care,930.36,Delivered
ORD10189,RS004,2024-04-25,Beauty & Personal Care,930.36,Delivered
ORD10190,RS006,2024-04-26,Beauty & Personal Care,930.36,Cancelled
ORD10191,RS017,2024-04-15,Beauty & Personal Care,930.36,Delivered
ORD10192,RS008,2024-04-30,Beauty & Personal Care,930.36,Delivered
ORD10193,RS015,2024-04-05,Beauty & Personal Care,930.36,Delivered
ORD10194,RS022,2024-04-17,Beauty & Personal Care,930.36,Returned
ORD10195,RS020,2024-04-11,Beauty & Personal Care,930.36,Cancelled
ORD10196,RS015,2024-04-20,Beauty & Personal Care,930.36,Delivered
ORD10197,RS017,2024-04-14,Beauty & Personal Care,930.36,Delivered
ORD10198,RS018,2024-04-15,Beauty & Personal Care,930.36,Cancelled
ORD10199,RS016,2024-04-15,Beauty & Personal Care,930.36,Delivered
ORD10200,RS008,2024-04-27,Beauty & Personal Care,930.36,Delivered
ORD10201,RS017,2024-04-16,Beauty & Personal Care,930.36,Delivered
ORD10202,RS009,2024-04-15,Beauty & Personal Care,930.36,Delivered
ORD10203,RS010,2024-04-08,Beauty & Personal Care,930.36,Delivered
ORD10204,RS011,2024-04-29,Beauty & Personal Care,930.36,Delivered
ORD10205,RS005,2024-04-05,Beauty & Personal Care,930.36,Delivered
ORD10206,RS023,2024-04-05,Beauty & Personal Care,930.36,Delivered
ORD10207,RS003,2024-04-14,Beauty & Personal Care,930.36,Delivered
ORD10208,RS018,2024-04-15,Beauty & Personal Care,930.36,Delivered
ORD10209,RS007,2024-04-27,Beauty & Personal Care,930.36,Delivered
ORD10210,RS019,2024-04-23,Beauty & Personal Care,930.36,Delivered
ORD10211,RS019,2024-04-13,Beauty & Personal Care,930.36,Delivered
ORD10212,RS012,2024-04-10,Beauty & Personal Care,930.36,Delivered
ORD10213,RS014,2024-04-18,Beauty & Personal Care,930.36,Delivered
ORD10214,RS018,2024-04-26,Beauty & Personal Care,930.36,Delivered
ORD10215,RS008,2024-04-16,Beauty & Personal Care,930.36,Delivered
ORD10216,RS014,2024-04-16,Beauty & Personal Care,930.36,Delivered
ORD10217,RS011,2024-04-22,Beauty & Personal Care,930.36,Delivered
ORD10218,RS013,2024-04-24,Beauty & Personal Care,930.36,Delivered
ORD10219,RS015,2024-04-30,Beauty & Personal Care,930.36,Delivered
ORD10220,RS020,2024-04-18,Beauty & Personal Care,930.36,Delivered
ORD10221,RS013,2024-04-19,Beauty & Personal Care,930.36,Delivered
ORD10222,RS001,2024-04-03,Beauty & Personal Care,930.36,Delivered
ORD10223,RS005,2024-04-28,Beauty & Personal Care,930.36,Delivered
ORD10224,RS002,2024-04-09,Beauty & Personal Care,930.36,Delivered
ORD10225,RS007,2024-04-15,Beauty & Personal Care,930.36,Delivered
ORD10226,RS013,2024-04-09,Beauty & Personal Care,930.36,Delivered
ORD10227,RS014,2024-04-09,Beauty & Personal Care,930.36,Delivered
ORD10228,RS016,2024-04-01,Beauty & Personal Care,930.36,Delivered
ORD10229,RS002,2024-04-12,Beauty & Personal Care,930.36,Delivered
ORD10230,RS003,2024-04-25,Beauty & Personal Care,930.36,Cancelled
ORD10231,RS002,2024-04-25,Beauty & Personal Care,930.36,Delivered
ORD10232,RS008,2024-04-07,Beauty & Personal Care,930.36,Delivered
ORD10233,RS020,2024-04-05,Beauty & Personal Care,930.36,Delivered
ORD10234,RS016,2024-04-22,Beauty & Personal Care,930.36,Delivered
ORD10235,RS007,2024-04-15,Beauty & Personal Care,930.36,Delivered
ORD10236,RS012,2024-04-06,Beauty & Personal Care,930.36,Delivered
ORD10237,RS023,2024-04-04,Beauty & Personal Care,930.36,Delivered
ORD10238,RS006,2024-04-10,Beauty & Personal Care,930.36,Delivered
ORD10239,RS001,2024-04-30,Beauty & Personal Care,930.4,Delivered
ORD10240,RS022,2024-04-30,Home & Kitchen,1141.67,Cancelled
ORD10241,RS013,2024-04-23,Home & Kitchen,1141.67,Delivered
ORD10242,RS019,2024-04-23,Home & Kitchen,1141.67,Delivered
ORD10243,RS008,2024-04-04,Home & Kitchen,1141.67,Delivered
ORD10244,RS010,2024-04-28,Home & Kitchen,1141.67,Delivered
ORD10245,RS004,2024-04-26,Home & Kitchen,1141.67,Returned
ORD10246,RS002,2024-04-12,Home & Kitchen,1141.67,Delivered
ORD10247,RS022,2024-04-12,Home & Kitchen,1141.67,Delivered
ORD10248,RS021,2024-04-11,Home & Kitchen,1141.67,Delivered
ORD10249,RS014,2024-04-27,Home & Kitchen,1141.67,Delivered
ORD10250,RS014,2024-04-12,Home & Kitchen,1141.67,Delivered
ORD10251,RS015,2024-04-23,Home & Kitchen,1141.67,Delivered
ORD10252,RS006,2024-04-24,Home & Kitchen,1141.67,Delivered
ORD10253,RS021,2024-04-09,Home & Kitchen,1141.67,Delivered
ORD10254,RS018,2024-04-25,Home & Kitchen,1141.67,Delivered
ORD10255,RS014,2024-04-27,Home & Kitchen,1141.67,Delivered
ORD10256,RS009,2024-04-11,Home & Kitchen,1141.67,Delivered
ORD10257,RS003,2024-04-09,Home & Kitchen,1141.67,Cancelled
ORD10258,RS008,2024-04-25,Home & Kitchen,1141.67,Delivered
ORD10259,RS020,2024-04-22,Home & Kitchen,1141.67,Delivered
ORD10260,RS001,2024-04-16,Home & Kitchen,1141.67,Delivered
ORD10261,RS006,2024-04-16,Home & Kitchen,1141.67,Delivered
ORD10262,RS009,2024-04-11,Home & Kitchen,1141.67,Delivered
ORD10263,RS020,2024-04-23,Home & Kitchen,1141.67,Cancelled
ORD10264,RS018,2024-04-01,Home & Kitchen,1141.67,Delivered
ORD10265,RS007,2024-04-03,Home & Kitchen,1141.67,Delivered
ORD10266,RS014,2024-04-16,Home & Kitchen,1141.67,Delivered
ORD10267,RS008,2024-04-23,Home & Kitchen,1141.67,Delivered
ORD10268,RS023,2024-04-16,Home & Kitchen,1141.67,Delivered
ORD10269,RS001,2024-04-03,Home & Kitchen,1141.67,Delivered
ORD10270,RS013,2024-04-23,Home & Kitchen,1141.67,Delivered
ORD10271,RS022,2024-04-19,Home & Kitchen,1141.67,Delivered
ORD10272,RS018,2024-04-17,Home & Kitchen,1141.67,Delivered
ORD10273,RS018,2024-04-11,Home & Kitchen,1141.67,Delivered
ORD10274,RS015,2024-04-09,Home & Kitchen,1141.67,Delivered
ORD10275,RS008,2024-04-04,Home & Kitchen,1141.67,Delivered
ORD10276,RS011,2024-04-04,Home & Kitchen,1141.67,Delivered
ORD10277,RS023,2024-04-06,Home & Kitchen,1141.67,Delivered
ORD10278,RS016,2024-04-09,Home & Kitchen,1141.67,Delivered
ORD10279,RS017,2024-04-20,Home & Kitchen,1141.67,Delivered
ORD10280,RS004,2024-04-27,Home & Kitchen,1141.67,Delivered
ORD10281,RS008,2024-04-12,Home & Kitchen,1141.67,Delivered
ORD10282,RS001,2024-04-23,Home & Kitchen,1141.67,Delivered
ORD10283,RS009,2024-04-02,Home & Kitchen,1141.67,Returned
ORD10284,RS018,2024-04-10,Home & Kitchen,1141.67,Delivered
ORD10285,RS005,2024-04-21,Home & Kitchen,1141.67,Delivered
ORD10286,RS016,2024-04-04,Home & Kitchen,1141.67,Delivered
ORD10287,RS019,2024-04-10,Home & Kitchen,1141.67,Delivered
ORD10288,RS015,2024-04-11,Home & Kitchen,1141.67,Delivered
ORD10289,RS002,2024-04-09,Home & Kitchen,1141.67,Cancelled
ORD10290,RS016,2024-04-04,Home & Kitchen,1141.67,Delivered
ORD10291,RS013,2024-04-16,Home & Kitchen,1141.67,Delivered
ORD10292,RS021,2024-04-22,Home & Kitchen,1141.67,Delivered
ORD10293,RS005,2024-04-26,Home & Kitchen,1141.67,Delivered
ORD10294,RS010,2024-04-03,Home & Kitchen,1141.67,Returned
ORD10295,RS004,2024-04-18,Home & Kitchen,1141.67,Delivered
ORD10296,RS020,2024-04-20,Home & Kitchen,1141.67,Delivered
ORD10297,RS008,2024-04-25,Home & Kitchen,1141.67,Delivered
ORD10298,RS015,2024-04-30,Home & Kitchen,1141.67,Delivered
ORD10299,RS019,2024-04-14,Home & Kitchen,1141.87,Delivered
ORD10300,RS020,2024-05-02,Ethnic Wear,1948.5,Delivered
ORD10301,RS004,2024-05-31,Ethnic Wear,1948.5,Delivered
ORD10302,RS021,2024-05-07,Ethnic Wear,1948.5,Delivered
ORD10303,RS003,2024-05-06,Ethnic Wear,1948.5,Delivered
ORD10304,RS018,2024-05-03,Ethnic Wear,1948.5,Delivered
ORD10305,RS014,2024-05-15,Ethnic Wear,1948.5,Delivered
ORD10306,RS016,2024-05-10,Ethnic Wear,1948.5,Delivered
ORD10307,RS010,2024-05-23,Ethnic Wear,1948.5,Delivered
ORD10308,RS015,2024-05-03,Ethnic Wear,1948.5,Delivered
ORD10309,RS009,2024-05-26,Ethnic Wear,1948.5,Delivered
ORD10310,RS019,2024-05-22,Ethnic Wear,1948.5,Delivered
ORD10311,RS007,2024-05-14,Ethnic Wear,1948.5,Delivered
ORD10312,RS008,2024-05-21,Ethnic Wear,1948.5,Delivered
ORD10313,RS009,2024-05-27,Ethnic Wear,1948.5,Delivered
ORD10314,RS002,2024-05-06,Ethnic Wear,1948.5,Delivered
ORD10315,RS020,2024-05-24,Ethnic Wear,1948.5,Delivered
ORD10316,RS010,2024-05-15,Ethnic Wear,1948.5,Delivered
ORD10317,RS023,2024-05-10,Ethnic Wear,1948.5,Delivered
ORD10318,RS009,2024-05-17,Ethnic Wear,1948.5,Delivered
ORD10319,RS015,2024-05-03,Ethnic Wear,1948.5,Delivered
ORD10320,RS014,2024-05-24,Ethnic Wear,1948.5,Delivered
ORD10321,RS009,2024-05-01,Ethnic Wear,1948.5,Delivered
ORD10322,RS022,2024-05-27,Ethnic Wear,1948.5,Delivered
ORD10323,RS019,2024-05-31,Ethnic Wear,1948.5,Delivered
ORD10324,RS022,2024-05-27,Ethnic Wear,1948.5,Delivered
ORD10325,RS002,2024-05-25,Ethnic Wear,1948.5,Delivered
ORD10326,RS016,2024-05-17,Ethnic Wear,1948.5,Delivered
ORD10327,RS009,2024-05-06,Ethnic Wear,1948.5,Returned
ORD10328,RS014,2024-05-21,Ethnic Wear,1948.5,Delivered
ORD10329,RS003,2024-05-16,Ethnic Wear,1948.5,Delivered
ORD10330,RS011,2024-05-11,Ethnic Wear,1948.5,Delivered
ORD10331,RS006,2024-05-11,Ethnic Wear,1948.5,Delivered
ORD10332,RS016,2024-05-10,Ethnic Wear,1948.5,Delivered
ORD10333,RS013,2024-05-27,Ethnic Wear,1948.5,Delivered
ORD10334,RS002,2024-05-15,Ethnic Wear,1948.5,Delivered
ORD10335,RS009,2024-05-11,Ethnic Wear,1948.5,Delivered
ORD10336,RS013,2024-05-28,Ethnic Wear,1948.5,Delivered
ORD10337,RS001,2024-05-22,Ethnic Wear,1948.5,Delivered
ORD10338,RS015,2024-05-14,Ethnic Wear,1948.5,Delivered
ORD10339,RS017,2024-05-12,Ethnic Wear,1948.5,Delivered
ORD10340,RS016,2024-05-21,Ethnic Wear,1948.5,Delivered
ORD10341,RS002,2024-05-07,Ethnic Wear,1948.5,Delivered
ORD10342,RS005,2024-05-30,Ethnic Wear,1948.5,Delivered
ORD10343,RS023,2024-05-16,Ethnic Wear,1948.5,Delivered
ORD10344,RS021,2024-05-20,Ethnic Wear,1948.5,Delivered
ORD10345,RS023,2024-05-06,Ethnic Wear,1948.5,Delivered
ORD10346,RS001,2024-05-18,Ethnic Wear,1948.5,Delivered
ORD10347,RS008,2024-05-27,Ethnic Wear,1948.5,Cancelled
ORD10348,RS015,2024-05-31,Ethnic Wear,1948.5,Delivered
ORD10349,RS005,2024-05-16,Ethnic Wear,1948.5,Cancelled
ORD10350,RS010,2024-05-17,Ethnic Wear,1948.5,Delivered
ORD10351,RS014,2024-05-27,Ethnic Wear,1948.5,Delivered
ORD10352,RS016,2024-05-08,Ethnic Wear,1948.5,Delivered
ORD10353,RS005,2024-05-13,Ethnic Wear,1948.5,Delivered
ORD10354,RS020,2024-05-17,Ethnic Wear,1948.5,Delivered
ORD10355,RS005,2024-05-28,Ethnic Wear,1948.5,Delivered
ORD10356,RS014,2024-05-11,Ethnic Wear,1948.5,Cancelled
ORD10357,RS017,2024-05-09,Ethnic Wear,1948.5,Delivered
ORD10358,RS010,2024-05-24,Ethnic Wear,1948.5,Delivered
ORD10359,RS019,2024-05-19,Ethnic Wear,1948.5,Returned
ORD10360,RS016,2024-05-28,Ethnic Wear,1948.5,Delivered
ORD10361,RS018,2024-05-16,Ethnic Wear,1948.5,Delivered
ORD10362,RS018,2024-05-25,Ethnic Wear,1948.5,Delivered
ORD10363,RS015,2024-05-30,Ethnic Wear,1948.5,Delivered
ORD10364,RS007,2024-05-23,Ethnic Wear,1948.5,Delivered
ORD10365,RS013,2024-05-08,Ethnic Wear,1948.5,Delivered
ORD10366,RS014,2024-05-02,Ethnic Wear,1948.5,Delivered
ORD10367,RS016,2024-05-23,Ethnic Wear,1948.5,Cancelled
ORD10368,RS013,2024-05-13,Ethnic Wear,1948.5,Returned
ORD10369,RS021,2024-05-05,Ethnic Wear,1948.5,Delivered
ORD10370,RS002,2024-05-05,Ethnic Wear,1948.5,Delivered
ORD10371,RS019,2024-05-11,Ethnic Wear,1948.5,Delivered
ORD10372,RS015,2024-05-04,Ethnic Wear,1948.5,Delivered
ORD10373,RS015,2024-05-01,Ethnic Wear,1948.5,Delivered
ORD10374,RS014,2024-05-28,Ethnic Wear,1948.5,Delivered
ORD10375,RS005,2024-05-03,Ethnic Wear,1948.5,Delivered
ORD10376,RS009,2024-05-11,Ethnic Wear,1948.5,Delivered
ORD10377,RS013,2024-05-21,Ethnic Wear,1948.5,Delivered
ORD10378,RS011,2024-05-28,Ethnic Wear,1948.5,Delivered
ORD10379,RS018,2024-05-13,Ethnic Wear,1948.5,Cancelled
ORD10380,RS021,2024-05-23,Ethnic Wear,1948.5,Cancelled
ORD10381,RS016,2024-05-28,Ethnic Wear,1948.5,Delivered
ORD10382,RS020,2024-05-03,Ethnic Wear,1948.5,Delivered
ORD10383,RS022,2024-05-30,Ethnic Wear,1948.5,Delivered
ORD10384,RS008,2024-05-24,Ethnic Wear,1948.5,Delivered
ORD10385,RS004,2024-05-25,Ethnic Wear,1948.5,Delivered
ORD10386,RS004,2024-05-15,Ethnic Wear,1948.5,Delivered
ORD10387,RS010,2024-05-29,Ethnic Wear,1948.5,Delivered
ORD10388,RS011,2024-05-26,Ethnic Wear,1948.5,Delivered
ORD10389,RS012,2024-05-12,Ethnic Wear,1948.5,Delivered
ORD10390,RS008,2024-05-17,Ethnic Wear,1948.5,Delivered
ORD10391,RS022,2024-05-26,Ethnic Wear,1948.5,Delivered
ORD10392,RS006,2024-05-03,Ethnic Wear,1948.5,Delivered
ORD10393,RS013,2024-05-20,Ethnic Wear,1948.5,Delivered
